ID,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Όνομα,Συνολικοί βαθμοί,Σχόλια για το κουίζ,Ώρα δημοσίευσης βαθμού,"Prior to the COVID-19 crisis, were you able to work from home?","Βαθμοί - Prior to the COVID-19 crisis, were you able to work from home?","Σχόλια - Prior to the COVID-19 crisis, were you able to work from home?",Βαθμοί - Did you receive any security guidelines from your employer regarding working from home?,Σχόλια - Did you receive any security guidelines from your employer regarding working from home?,Βαθμοί - Please describe the main (2-3) security guidelines provided.,Σχόλια - Please describe the main (2-3) security guidelines provided.,Devices,Βαθμοί - What kind of devices are you using to connect to your corporate working environment?,Σχόλια - What kind of devices are you using to connect to your corporate working environment?,Βαθμοί - Are these devices accessed by users other than yourself?,Σχόλια - Are these devices accessed by users other than yourself?,These devices are:,Βαθμοί - These devices are:,Σχόλια - These devices are:,Βαθμοί - Are these devices managed by your organization?,Σχόλια - Are these devices managed by your organization?,Βαθμοί - Which of the following apply for the devices you currently use for your working from home employment?,Σχόλια - Which of the following apply for the devices you currently use for your working from home employment?,Access_Type,Βαθμοί - How do you obtain access to your corporate working environment?,Σχόλια - How do you obtain access to your corporate working environment?,Βαθμοί - Please describe how you obtain access to your corporate working environment.,Σχόλια - Please describe how you obtain access to your corporate working environment.,Βαθμοί - How were you informed how to use them?,Σχόλια - How were you informed how to use them?,Has your company adopted a specific collaboration solution?,Βαθμοί - Has your company adopted a specific collaboration solution?,Σχόλια - Has your company adopted a specific collaboration solution?,What abilities does it offer?,Βαθμοί - What abilities does it offer?,Σχόλια - What abilities does it offer?,"Βαθμοί - Please name any other cyber-security threats you encountered during this period, not listed above.","Σχόλια - Please name any other cyber-security threats you encountered during this period, not listed above.",Βαθμοί - To what extent do you agree with the following statements:,Σχόλια - To what extent do you agree with the following statements:,I prefer working from home than going to the office.,Βαθμοί - I prefer working from home than going to the office.,Σχόλια - I prefer working from home than going to the office.,WFH_Productive,Βαθμοί - I work more productively from home.,Σχόλια - I work more productively from home.,I collaborate with my colleagues as effectively as when we are in office.,Βαθμοί - I collaborate with my colleagues as effectively as when we are in office.,Σχόλια - I collaborate with my colleagues as effectively as when we are in office.,Emp_Satisfaction_Crisis,Βαθμοί - I am satisfied by my employer’s approach to the crisis.,Σχόλια - I am satisfied by my employer’s approach to the crisis.,Tech_Support_Satisfactory,"Βαθμοί - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).","Σχόλια - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",Emp_Satisfied_with_Approach,Βαθμοί - I am proud to work for my organization.,Σχόλια - I am proud to work for my organization.,I have access to the things I need to do my job well.,Βαθμοί - I have access to the things I need to do my job well.,Σχόλια - I have access to the things I need to do my job well.,Age_Range,Βαθμοί - What is your age?,Σχόλια - What is your age?,What is the highest degree or level of school you have completed?,Βαθμοί - What is the highest degree or level of school you have completed?,Σχόλια - What is the highest degree or level of school you have completed?,Please select the business domain of the organization you work for.,Βαθμοί - Please select the business domain of the organization you work for.,Σχόλια - Please select the business domain of the organization you work for.,Please specify which is the business domain of the organization you work for.,Βαθμοί - Please specify which is the business domain of the organization you work for.,Σχόλια - Please specify which is the business domain of the organization you work for.,Which of the following best describes your work position?,Βαθμοί - Which of the following best describes your work position?,Σχόλια - Which of the following best describes your work position?,Comments,Βαθμοί - Comments,Σχόλια - Comments
186,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
187,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,"High school graduate, diploma or the equivalent",,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
188,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,"Oil & Gas, Environmental Services,Waste Management",,,Manager,,,,,
189,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Associate degree,,,Telecommunications,,,,,,Other,,,,,
190,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Banking & Financial,,,,,,IT professional,,,During a crisis at the extent of the corona-crisis the most  important thing to understand is that technology offers tools in order most of the companies to be able to operate in a safe way for the employees and with minimum disruptions!!,,
191,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Professional degree,,,Banking & Financial,,,,,,Other,,,Excellent survey!!!,,
192,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,Other,,,Food,,,Manager,,,,,
193,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Disagree,,,Disagree,,,Strongly disagree,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,Master’s degree,,,Other,,,Manufacturing ,,,Manager,,,,,
194,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Undecided,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,35-44 years old,,,Master’s degree,,,Other,,,Data Centers,,,Other,,,,,
195,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
196,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Undecided,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
197,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Teleconferencing;,,,,,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
198,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly disagree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
199,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
200,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,Health,,,,,,Researcher,,,,,
201,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Undecided,,,Disagree,,,Undecided,,,Disagree,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,IT professional,,,,,
202,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,Other,,,,,
203,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Agree,,,Strongly agree,,,Agree,,,Undecided,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,Other,,,,,
204,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Agree,,,Undecided,,,Agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
205,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,IT professional,,,,,
206,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Transport,,,,,,IT professional,,,,,
207,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Undecided,,,Undecided,,,Undecided,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Telecommunications,,,,,,Manager,,,,,
208,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,IT professional,,,,,
209,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,45-54 years old,,,Professional degree,,,Telecommunications,,,,,,Security professional,,,,,
210,anonymous,,,,,No,,,,,,,Desktop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly disagree,,,Disagree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,45-54 years old,,,Bachelor’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
211,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Telecommunications,,,,,,Other,,,,,
212,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time document co-authoring;Scheduling;,,,,,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Disagree,,,Strongly agree,,,Agree,,,45-54 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
213,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Disagree,,,Undecided,,,Undecided,,,Undecided,,,Agree,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,IT professional,,,,,
214,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Other,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
215,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,25-34 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Researcher,,,,,
216,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;,,,,,,,Strongly disagree,,,Strongly disagree,,,Undecided,,,Agree,,,Disagree,,,Agree,,,Undecided,,,18-24 years old,,,Bachelor’s degree,,,Transport,,,,,,Other,,,,,
217,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Disagree,,,Agree,,,35-44 years old,,,"Some college credit, no degree",,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
218,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,Undecided,,,55-64 years old,,,Bachelor’s degree,,,Transport,,,,,,Manager,,,,,
219,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
220,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Disagree,,,Disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,25-34 years old,,,Professional degree,,,Public Sector,,,,,,Other,,,,,
221,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;,,,,,,,Undecided,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Undecided,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,Professional Services,,,Manager,,,,,
222,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Undecided,,,Undecided,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
223,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Strongly disagree,,,Undecided,,,Disagree,,,Undecided,,,Disagree,,,45-54 years old,,,Doctorate degree,,,Public Sector,,,,,,Researcher,,,,,
224,anonymous,,,,,Yes,,,,,,,Laptop;Tablet;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Disagree,,,Undecided,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Professional degree,,,Other,,,Legal,,,Manager,,,,,
225,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,-,,
226,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Undecided,,,Agree,,,Strongly agree,,,Undecided,,,Agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
227,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,Manager,,,,,
228,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Undecided,,,35-44 years old,,,Master’s degree,,,Other,,,Energy,,,Other,,,"Adding questions, after arriving to the last one, is irritating.",,
229,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
230,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,Education & Research,,,,,,Manager,,,,,
231,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,Consulting,,,Other,,,,,
232,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
233,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;Other;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,25-34 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
234,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
235,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,N/A,,
236,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Security professional,,,,,
237,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
238,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Researcher,,,,,
239,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
240,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time chatting;,,,,,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Health,,,,,,Manager,,,,,
241,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Undecided,,,Undecided,,,Undecided,,,Agree,,,Agree,,,25-34 years old,,,Bachelor’s degree,,,Health,,,,,,Manager,,,,,
242,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,Health,,,,,,Manager,,,,,
243,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Disagree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Health,,,,,,Manager,,,,,
244,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,45-54 years old,,,"High school graduate, diploma or the equivalent",,,Education & Research,,,,,,Researcher,,,,,
245,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Strongly disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
246,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
247,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Real-time document co-authoring;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Strongly disagree,,,Agree,,,Strongly disagree,,,Strongly agree,,,Undecided,,,35-44 years old,,,Master’s degree,,,Education & Research,,,,,,Other,,,,,
248,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,"High school graduate, diploma or the equivalent",,,Education & Research,,,,,,Manager,,,,,
249,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Disagree,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,IT professional,,,"Question #3 and #4 are problematic. I use company devices and private devices as well, but it's not possible to account for this constellation 
Question #8 also doesn't take into account that you can have a mixed infrastructure (as we have) consisting of Google Cloud Services and local network shares and web services. So I have to use a VPN and a Cloud provider, dependent on the task I have to achieve.",,
250,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Associate degree,,,IT (Information Technology),,,,,,IT professional,,,,,
251,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
